北京联通组播本地台,#genre#
江苏卫视1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.135:8028
东方卫视1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.136:8032
重庆卫视1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.122:8160
吉林卫视1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.240:8172
江西卫视1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.123:8164
金鹰纪实1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.58:8156
上海纪实1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.212:8060
中国交通1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.188:8001
快乐垂钓1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.164:8001
茶频道台1080P,http://littlegod.asuscomm.com:8012/udp/239.3.1.165:8001
河北电信组播本地台,#genre#
CCTV1-HD,http://mfworld.top:4321/udp/239.254.200.45:8008
CCTV2-HD,http://mfworld.top:4321/udp/239.254.200.158:6000
CCTV3-HD,http://mfworld.top:4321/udp/239.254.201.152:7205
CCTV4-HD,http://mfworld.top:4321/udp/239.254.200.190:6307
CCTV5-HD,http://mfworld.top:4321/udp/239.254.201.153:7206
CCTV5+-HD,http://mfworld.top:4321/udp/239.254.200.46:8004
CCTV6-HD,http://mfworld.top:4321/udp/239.254.201.154:7207
CCTV7-HD,http://mfworld.top:4321/udp/239.254.200.159:6000
CCTV8-HD,http://mfworld.top:4321/udp/239.254.201.155:7208
CCTV9-HD,http://mfworld.top:4321/udp/239.254.200.59:8112
CCTV10-HD,http://mfworld.top:4321/udp/239.254.200.160:6000
CCTV11-HD,http://mfworld.top:4321/udp/239.254.201.123:8120
CCTV12-HD,http://mfworld.top:4321/udp/239.254.200.161:6000
CCTV13-HD,http://mfworld.top:4321/udp/239.254.200.9:8264
CCTV14-HD,http://mfworld.top:4321/udp/239.254.200.162:6000
CCTV15-HD,http://mfworld.top:4321/udp/239.254.201.124:8136
CCTV17-HD,http://mfworld.top:4321/udp/239.254.201.120:8144
欢笑剧场-4K,http://mfworld.top:4321/udp/239.254.201.164:6355
央视频道-4K,http://mfworld.top:4321/udp/239.254.200.122:7266
CGTN英语-HD,http://mfworld.top:4321/udp/239.254.200.12:8056
CGTN记录-HD,http://mfworld.top:4321/udp/239.254.201.208:4220
CGTN西语-HD,http://mfworld.top:4321/udp/239.254.201.209:4220
CGTN法语-HD,http://mfworld.top:4321/udp/239.254.201.210:4220
CGTN阿语-HD,http://mfworld.top:4321/udp/239.254.201.211:4220
CGTN俄语-HD,http://mfworld.top:4321/udp/239.254.201.212:4220
CCTV4欧洲-HD,http://mfworld.top:4321/udp/239.254.201.205:4220
CCTV4美洲-HD,http://mfworld.top:4321/udp/239.254.201.206:4220
都市剧场-HD,http://mfworld.top:4321/udp/239.254.201.167:6360
央视台球-HD,http://mfworld.top:4321/udp/239.254.201.171:7176
电视指南-HD,http://mfworld.top:4321/udp/239.254.201.217:7250
第一剧场-HD,http://mfworld.top:4321/udp/239.254.201.218:7258
风云剧场-HD,http://mfworld.top:4321/udp/239.254.201.219:7257
怀旧剧场-HD,http://mfworld.top:4321/udp/239.254.201.220:7256
风云音乐-HD,http://mfworld.top:4321/udp/239.254.201.221:7259
风云足球-HD,http://mfworld.top:4321/udp/239.254.201.222:7251
央视网球-HD,http://mfworld.top:4321/udp/239.254.201.223:7252
兵器科技-HD,http://mfworld.top:4321/udp/239.254.201.225:7249
世界地理-HD,http://mfworld.top:4321/udp/239.254.201.226:7254
女性时尚-HD,http://mfworld.top:4321/udp/239.254.201.228:7255
文化精品-HD,http://mfworld.top:4321/udp/239.254.201.229:7260
河北卫视-HD,http://mfworld.top:4321/udp/239.254.200.174:6000
河北生活-HD,http://mfworld.top:4321/udp/239.254.200.18:6000
河北都市-HD,http://mfworld.top:4321/udp/239.254.200.19:6000
河北影视剧-HD,http://mfworld.top:4321/udp/239.254.200.20:6000
河北少儿-HD,http://mfworld.top:4321/udp/239.254.200.21:6000
河北公共-HD,http://mfworld.top:4321/udp/239.254.200.22:6000
河北农民-HD,http://mfworld.top:4321/udp/239.254.200.23:6000
睛彩河北-HD,http://mfworld.top:4321/udp/239.254.200.27:6000
石家庄综合-HD,http://mfworld.top:4321/udp/239.254.200.157:6000
石家庄娱乐-HD,http://mfworld.top:4321/udp/239.254.200.29:6000
石家庄生活-HD,http://mfworld.top:4321/udp/239.254.200.30:6000
石家庄都市-HD,http://mfworld.top:4321/udp/239.254.200.31:6000
承德综合-HD,http://mfworld.top:4321/udp/239.254.200.32:6000
